CBDmax_mean;CBDmax_std;THCmax_mean;THCmax_std;LeaflyStrain;Effects__Aroused;Effects__Creative;Effects__Energetic;Effects__Euphoric;Effects__Focused;Effects__Giggly;Effects__Happy;Effects__Hungry;Effects__Relaxed;Effects__Sleepy;Effects__Talkative;Effects__Tingly;Effects__Uplifted;Medical__Cramps;Medical__Depression;Medical__Eye Pressure;Medical__Fatigue;Medical__Headaches;Medical__Inflammation;Medical__Insomnia;Medical__Lack of Appetite;Medical__Muscle Spasms;Medical__Nausea;Medical__Pain;Medical__Seizures;Medical__Spasticity;Medical__Stress;Negatives__Anxious;Negatives__Dizzy;Negatives__Dry Eyes;Negatives__Dry Mouth;Negatives__Headache;Negatives__Paranoid
0.267195463;0.3036806;40.6199778;21.62609721;wappa;;;;40.54054054;;65.27027027;80.33783784;;100;;;;74.72972973;;77.09125475;;;;;52.09125475;69.20152091;;;57.12927757;;;100;12.40694789;2.23325062;73.94540943;100;;17.86600496
0.321737073;0.565935912;22.060225;19.60108319;warlock;;;46.47805163;46.87180983;42.89047688;;54.44071751;;100;;;;;;51.44877544;;;;19.71369438;;;45.29147982;;62.935495;;;100;;3.732227488;81.51658768;100;15.37322275;3.110189573
1.478411111;2.595733347;15.33282222;5.726278197;watermelon;;;;67.27732416;;;63.04140589;;100;61.10167033;;;38.65793509;;55.18737425;;;;28.16272636;100;;;;60.55709256;;;64.78873239;35.31218014;;91.60696008;100;19.75435005;35.31218014
0.5;;24.3;;webster;57.14285714;;100;57.14285714;;;45.91836735;;;;;;17.34693878;;100;10.71428571;100;;;;;;;21.42857143;;;71.42857143;100;;100;;;
0.169073;0.142528361;22.45726127;6.648089156;wedding-cake;;;;60.46117632;;;77.34498775;39.41401865;100;;;;57.08441404;;76.81626158;;;;;37.63372369;32.44380339;;;53.25562992;;;100;21.23765322;;55.35754037;100;30.46671007;20.57332465
0.3;0.2;24.1536;2.193878105;west-coast-dawg;;61.53846154;;46.15384615;;;92.30769231;;100;;;;69.23076923;;80;;;80;;80;;;;100;;;100;;;44.44444444;100;;
9.241633333;7.266855496;9.186175;3.898861877;whitaker-blues;;;;;;;85.71428571;42.85714286;100;71.42857143;;;28.57142857;;50;;25;;;75;;;;50;;;100;;;50;100;;
0.157925217;0.19831328;27.62364696;3.999709166;white-99;;;;96.30102041;60.99064626;;83.69472789;;100;;;;84.71513605;;59.98922994;;61.17393646;;;;;;35.72967151;28.94453419;;;100;48.25396825;56.50793651;40.63492063;80.63492063;;100
0.075504516;0.078431344;18.10178516;4.614118652;white-berry;;;;100;;;99.15383816;63.2943901;87.18732836;;;;67.10211837;;;;;59.16345895;;50.43518768;48.80476622;;;54.1618653;;;100;76.46090865;15.53218815;17.43859367;100;;13.24450153
0.131973417;0.119625267;22.940975;15.95086254;white-buffalo;;;;100;;;86.74636887;;98.80104138;;;77.87750069;88.55508358;;100;;88.69812201;;80.43155708;;;;;8.995718343;;;96.34575438;22.28304094;0.98245614;10.25497076;100;0.65497076;
0;;23.302;;white-cheese;;;;92.653414;;48.91961971;100;;81.41745895;47.27744166;;;;;32.63403263;97.43589744;100;;;;100;;;;;;35.1981352;;;17.56198347;100;;
0.189555;0;23.08114;0;white-cookies;;;;80.7494562;76.12220684;;53.52976073;68.67708127;100;;;;;;56.21890547;;;;;45.93698176;31.34328358;;;35.65505804;;;100;1.042362689;2.084725378;7.176266203;100;0.521181344;
3.329666667;5.465051723;13.88886067;9.506770069;white-dawg;;;;;;;100;48.50187266;73.70251471;;59.49705725;;67.60299625;;56.48691938;;;;;;41.11051789;;39.5088094;55.68606514;;;100;3.729487817;4.47538538;18.05072103;100;;86.42466435
0.254366538;0.619525338;23.79604298;16.3366756;white-diesel;;96.89697973;;;83.98841539;;46.33843608;;100;;;;48.20024824;;20.13422819;;;;;66.44295302;79.86577181;;;93.2885906;;;100;;33.33333333;66.66666667;100;16.66666667;16.66666667
0.160257778;0.172789854;31.45830222;22.93039526;white-dragon;;;;60.79295154;;;69.60352423;62.99559471;100;58.59030837;;;;;67.58241758;;;64.83516484;;100;;;;75.82417582;;;73.07692308;6.756756757;27.02702703;93.24324324;100;;6.756756757
11.96649125;7.035827048;19.0558;17.15848432;white-dream;;85.21626856;93.60877986;96.51387992;89.41252421;;;;;;;;100;;100;;66.28440367;81.19266055;;;;;;22.70642202;;;100;85.67293777;78.72648336;9.406657019;100;6.946454414;
0.119227586;0.140734775;28.83006397;15.51099322;white-durban;;;100;67.9245283;54.71698113;;;;47.16981132;;;;54.71698113;;48;;100;;;56;;;;64;;;52;50;;100;93.75;12.5;56.25
